Pais,Nome_da_moeda,Continente,Países_vizinhos,Timestamp
Tuvalu,Dollar,OC,,2024-09-04T15:14:56.884353
U.S. Virgin Islands,Dollar,NA,,2024-09-04T15:14:56.972354
Uganda,Shilling,AF,"Tanzania, Kenya, South Sudan, Democratic Republic of the Congo, Rwanda",2024-09-04T15:14:57.320720
Ukraine,Hryvnia,EU,"Poland, Moldova, Hungary, Slovakia, Belarus, Romania, Russia",2024-09-04T15:14:57.765024
United Arab Emirates,Dirham,AS,"Saudi Arabia, Oman",2024-09-04T15:14:57.956996
United Kingdom,Pound,EU,Ireland,2024-09-04T15:14:58.049035
United States,Dollar,NA,"Canada, Mexico, Cuba",2024-09-04T15:14:58.260928
United States Minor Outlying Islands,Dollar,OC,,2024-09-04T15:14:58.882584
Uruguay,Peso,SA,"Brazil, Argentina",2024-09-04T15:14:59.074584
Uzbekistan,Som,AS,"Turkmenistan, Afghanistan, Kyrgyzstan, Tajikistan, Kazakhstan",2024-09-04T15:14:59.399584
Vanuatu,Vatu,OC,,2024-09-04T15:14:59.487587
Vatican,Euro,EU,Italy,2024-09-04T15:14:59.592587
Venezuela,Bolivar,SA,"Guyana, Brazil, Colombia",2024-09-04T15:14:59.799584
Vietnam,Dong,AS,"China, Laos, Cambodia",2024-09-04T15:15:00.039586
Wallis and Futuna,Franc,OC,,2024-09-04T15:15:00.154584
Western Sahara,Dirham,AF,"Algeria, Mauritania, Morocco",2024-09-04T15:15:00.370584
Yemen,Rial,AS,"Saudi Arabia, Oman",2024-09-04T15:15:00.546742
Zambia,Kwacha,AF,"Zimbabwe, Tanzania, Mozambique, Democratic Republic of the Congo, Namibia, Malawi, Angola",2024-09-04T15:15:01.532686
Zimbabwe,Dollar,AF,"South Africa, Mozambique, Botswana, Zambia",2024-09-04T15:15:01.814091
